,Id,REF_PARTNER
10,C183B470-A4E6-432E-963A-0002B975F53D,580396673
15,1D211C30-AFD4-4D98-BCB2-000437382000,365625982
27,D1C73EE6-3778-4D56-BE54-00066098B7B2,430032965
28,A3689C18-5CD4-402C-A869-000663A34434,431112733
57,2F866059-DC9B-488B-BD32-0011965AD84F,13391133
67,CFA98A8B-26ED-4786-A1A9-0013623AA390,611362745
71,832D23FE-E846-48E2-84EF-0014FFB3AC1B,610571496
79,333E18A9-FEEE-4344-80E2-001770C9DBCF,365255349
99,197AD78A-0EF6-4E4D-BD7D-001B6EA38043,590609881
106,71FF8C1D-8795-49F1-8689-001D3841E64B,373203532
107,3169C175-F6B0-4F82-BD8B-001D5231CA3C,587620611
110,0A111F72-EF55-47C2-B561-001DFA6E9513,586550651
116,3E3E9686-95AD-4042-8983-001E6BAC82C0,585075568
117,17EECED1-CD5A-461C-96C0-001EB30B81E0,609632155
142,620A1DE2-8B1B-4ECC-90B5-0027AEC3B9F5,609926169
155,1ED39AE7-CC90-4B5D-A6F7-002AC426A8E0,62263656
167,7B94275B-206C-459E-8122-002F0BC3ABFE,609851266
171,6C0AF3E2-FA95-41E3-B43E-002FD9D1B953,427587507
185,98EF684A-4066-4B36-9A0B-00324BF23FBD,122820947
190,EA6E1FED-8BB0-4DDF-AEB5-0033B33D1280,65169492
192,7E01413F-E2C2-4769-A3DD-0033DE616EF5,25959093
194,5D1590E9-A5A5-4B07-8FC0-003455B939E5,585047101
212,70BC6319-3F7F-479B-80E7-00396EE88F6B,586199424
215,8AB2CC7B-5BB2-42C7-9FE2-003A4E59C399,581530472
216,B59322C0-F5DF-4940-ACC1-003A9C4255B8,579733791
217,1CC230DD-831A-416C-A37A-003AC5A552C0,369168521
226,7951C50D-AB91-4597-924F-003EB0F653C4,368404576
234,8FDB3E27-49DE-4698-A342-003F888E2CBA,69873859
241,46F7DFF6-0991-48FE-BB78-0041DB1C0854,609896954
249,9D6A41B5-DB24-4306-B89E-00448B80C1A4,373253498
261,11549572-6BC2-4F62-90A1-00486FF90CB0,581594513
264,04878AC1-F9C3-4FE1-A15C-00492A4E0787,581102279
269,3A604502-2FB6-4794-9011-004983D84734,426744137
275,EFB8B299-C73C-4F57-9CA3-004ABD575B18,579890072
283,F536734D-52F9-456C-A394-004D9B552AC6,585280366
307,B21749C0-1B6D-4ED6-8383-0052F702AF84,368955350
309,FD0C873A-4F88-4A41-8E7C-00538DC77120,580102227
318,173CEF00-53A4-488D-8F7F-0055E44BBF27,590931388
333,BE632C3F-0A00-462C-8F95-005AEEFD613C,429741385
340,B2858422-C633-410B-ADF4-005C2DB9EA4B,431020171
376,5E5FC7E3-7221-4905-866D-00628CA371BE,585190931
379,7906DEBE-3267-4B50-A410-00633DF0A5DB,580289999
396,07D9B26E-2275-44A9-8CF2-0067E5284AD4,373148680
397,D562EF44-C0F1-4E6E-A893-0067E81A8AA5,429741379
405,A14AA299-1531-4F95-9DDF-006A29D2CF87,68330463
412,86A30F56-4D16-4233-9891-006C6337C84D,586809334
416,CD8FE254-B1D4-47F7-BC02-006CE8F8D05E,585619264
429,943C686A-0634-422F-AE0B-0071F5395156,67063233
430,3397ADAE-E82D-4678-AB96-0072EAE63949,609214873
431,B2BBAECB-6B5B-4D65-975A-00738283778C,64232793
463,3E83EAFB-52B6-4B9E-9AE4-007CE7012B69,373148680
466,B3EB1FAD-3EB2-4125-8B74-007D6E69F7B8,22862278
490,EE66A55D-127A-4465-92E5-008330B78D6F,428504861
494,81C2AF36-8662-4D57-909A-0084368910A3,610781722
502,3D001A8F-2D4A-43F7-BC6F-0085628C2B51,581446137
509,5692B88F-44B9-4CAB-9F90-0086A2C875F2,370931174
517,79A176EE-78E1-4E0A-9F76-0088EFE6EFA8,427744268
518,4EA200E2-A6F3-46D2-B5B6-00894717FB1C,580396679
525,A82377D1-F88E-465B-BB93-008CAA752167,428381464
531,B7CAC25B-48AD-4C79-B4CB-008E4932BD71,587302895
535,B1D24459-03BE-4091-A360-008F3A5CB8A1,608961977
555,211B55C3-F68E-4247-92E5-00953955EC88,612062784
559,4C31DE08-CF73-4E3D-B7FE-0095E1C08936,585842203
562,59D014AE-6135-4A67-8CD3-0097721A7507,580396679
577,44CA3A5D-E882-4FF4-935D-009AF3157432,430341547
582,B4E49762-4112-4A00-BDDE-009C4360E53F,610762760
595,4BF2693A-165A-4B6A-A2FB-009F37789E87,591067940
620,DA9776E2-0127-4C2D-801B-00A5D33FE148,431043155
648,04CFFA8A-B45C-4F78-B431-00ADF6E6715B,587361581
654,8CE9B90C-2A52-40C3-8E8C-00AF7E111884,20103206
671,6B0E4E06-88E6-48FB-82F0-00B511365F43,587799638
680,31687F95-18D1-490E-932D-00BB70C6C7A0,31214678
681,CF4FA315-4A4F-45F6-B324-00BB780CCFFA,122813250
685,958F4963-83ED-4492-8E27-00BBE2EF9FAC,371711349
694,6AC048F0-610B-4D54-B4D0-00C021E9DCBD,70228774
698,5AD90741-A9A5-4D4E-98FA-00C176F7B6E0,578402422
716,1DF0B76F-510A-4B4A-BB65-00C67315B44A,427534139
746,2EC903CF-DFAB-40ED-B27C-00CF06DF8BAA,65379432
778,5E2CE47E-382C-4478-8B88-00D9360A328C,64356189
781,784882CF-45BC-4FD0-89EE-00D995B78F0C,191851455
789,2D2429FA-C90B-4BB3-B805-00DCBB57180A,587242365
796,1DB0A6D7-991D-4240-A741-00DE2DAB257C,122191984
814,3E508AD0-79C0-426F-ACEA-00E2669CED78,609896954
817,54F785AD-CE9B-4017-A017-00E31CF3570A,63717612
842,19C063E8-C16F-4608-B562-00EB5C3868A7,61056651
852,F071CF1C-33DE-4CE8-9CAE-00EDDD817C8B,581436310
860,1A34E0ED-48F0-42A4-83F1-00EF74FD2BFB,372070652
868,BCA9295C-2B02-4D93-B9BC-00F065B18809,587634400
875,5F3C82BA-78CE-4D39-B440-00F214340478,64965381
888,071215FE-7DB4-4723-9B9F-00F53B9E8B19,611745281
904,21554563-E323-49D5-9F56-00F86BA2E5D0,610992514
905,CF37FA40-0AF0-4AD5-9385-00F87CE18322,609275123
911,E0A299CA-C5D1-4267-A6C6-00FAC2A8F5F2,580472215
913,AE76DFAC-C24F-496A-8C8A-00FB64C3942C,612583424
917,98AD7E7E-0B1D-46AE-B8C1-00FD1A3AAC56,585811497
941,A7C2DCB4-636E-4F5D-8B29-0103B58ADC36,371711349
962,88D51578-7181-4445-AB28-0106917D1A8A,611088271
979,D81B7399-A907-4622-81DE-010C3EC498EA,374316411
980,E2ED8A39-9DBC-4042-934C-010C88B3EA35,612134182
981,7915DA43-115F-4CE5-8485-010C8AC02A63,227272437
1001,EDE79DC1-0AB7-4FEA-94CA-01136C77B5A4,430527213
1004,AED6B3C7-B30B-477B-9072-011498B68650,430806580
1021,390C7DB8-21EC-4762-A62E-0119F12AEF9A,609940330
1032,07723DD9-F9F9-48FC-B817-011D1318B534,586882941
1035,6F594559-34C8-430D-856F-011D814B12F3,61424728
1046,4A48EB86-8D62-4E93-B017-012136474FC7,585056290
1047,F02BA9E7-7EB9-474F-955C-01217D6CC9C5,218464229
1049,E50F97A5-32E2-4EDB-AD93-0121FD973471,367168520
1064,C2A2C3B0-3355-4367-ACD0-01276A0566FF,585190931
1070,5BDA7664-2A97-4DEF-83A2-01289AF98B6F,580495631
1071,FC47F41D-F730-4FD6-A848-0128F819D8EC,586216499
1105,88B82414-86AB-4542-A772-0134256E5CE3,430985284
1121,29C0EF6C-0BB0-436D-A136-0139E4497E65,28610396
1125,F5DE089E-A2F4-499A-9DE8-013BA5218FAB,587327430
1143,72AE7643-E388-47CD-BFAE-01415930C582,579678841
1146,7A9F16C8-C3FA-4686-A00A-0141DD8BAC5A,581531361
1156,5B3DC878-D44C-4EA2-8C01-01450CD94D27,9582888
1164,5F5B6956-6085-4CAA-8ECF-014727AFE868,429002334
1167,A5A1D383-BFE1-4263-8F1E-0147651EFC8B,429952092
1181,7D4DF297-CDC5-404B-9583-014C470BAD29,587173146
1189,93FD33AD-BF83-44F7-BB7A-014E042DCA07,587338195
1192,F40E507D-6B23-4E9F-B51F-014E7FAF8E03,610759754
1199,3BEC2938-577F-4A67-AD41-01507EB47F0B,431083780
1202,FCA558C3-65F9-4ECE-8E35-015149306590,585075568
1204,A3AC159A-7805-41CF-8581-01525792CC13,373221100
1208,3DB3A1FE-2774-48E4-A760-0152F7122683,611091417
1212,8928516E-9E77-4E06-AB2B-0153DA1A1B3C,578143575
1230,401FB991-B223-415F-A8AB-015A2C95A8EB,584948745
1236,45172529-4885-4837-85F3-015B3A278275,584875948
1247,16143855-73B7-4B80-9EEE-015EEF9F3644,365274944
1276,184E2D60-572D-47DE-BEDD-016605DDE97D,580095965
1288,4D7229F8-B8A0-491B-96A8-01689D30D7C4,61782290
1289,F1442E1A-9ED6-4E87-ADD5-0168BC138590,609915100
1309,8E9B4A49-1A40-43C1-A0B2-016DECD98CD0,429810051
1313,709EEC44-764E-4BEE-9100-016E7A123105,590758087
1315,72AFE06D-2010-4AF8-9F6A-016EAAA3036A,609776089
1328,F6ECD3CE-33C2-4C7F-A9D2-017198249061,369248037
1340,901238BC-F012-4256-8289-0173EDE97A24,430280396
1401,3280B152-CFC7-469C-A51F-01856CD4749D,430171367
1404,5CC1483C-13E0-47A3-90B9-01860A4073F5,581113762
1412,199A963D-5F54-4F7B-84AB-0187D6A60EFE,609794984
1423,395A671A-AEF0-41E5-9BDA-018C1BDF5434,581394614
1464,7CC17C3A-C2A8-4558-9DC1-019541146886,216784938
1469,80159C07-3DDE-41D1-A839-0196160E5447,580583088
1479,106FA39B-1B66-480D-BF92-0198291A664B,431067094
1482,B8613AC8-D902-44AA-A65F-0198459AC657,609767661
1493,4E282E3C-1203-4DF7-ACAC-0199F2EDC269,61342127
1509,8A528B25-C824-47F9-A67A-019EA2770749,609794984
1513,6F2F988A-3A4D-4FC3-AB57-019FEA7D976B,586073210
1517,DD8D3D71-966F-4C6E-B79E-01A1442C73F4,430280560
1518,35278E91-4C3E-46FA-9B0E-01A1938A7D33,430097103
1546,6595A475-4ACD-4262-B67D-01A8E3CD1F4C,61056651
1552,62A3D193-AD0B-4E28-96A9-01AAB7075811,581446143
1557,5A4A27EB-2903-4618-AD4C-01AC192879B2,374197505
1585,C559C452-A593-4D1D-A6B7-01B3E8C7F89F,431158586
1592,B60F8A43-635B-4CED-9E4F-01B685F6329C,63548826
1594,DFFD6E4E-DA34-4FCC-9920-01B6ADB75843,612490143
1602,39929457-069E-44E3-91A6-01B8A89A8ECC,580399077
1614,0D03DBF4-0027-4D41-9D2B-01BB0296A09E,581495215
1617,886E43A5-946E-4466-86D4-01BCFBD336E1,367197924
1619,073F5CAE-A556-4B35-AB1E-01BDB8141E57,69262349
1622,C25CF890-4607-4198-A50E-01BE3B5FBA26,367169433
1628,39C79488-D397-45D5-A083-01BFF17D1B17,371970738
1635,5D7E7330-3389-4BC0-9279-01C117AC64D8,579919524
1651,8859948B-933D-4FBF-A5A1-01C3EFDEEA23,368599747
1655,865A0932-A596-44BB-883B-01C43B910224,36989742
1658,9E2E0732-2F3C-47C9-8510-01C4CCD5B3F4,427165490
1667,3F00C13E-8F44-407D-9F69-01C6DC799676,61056651
1673,62E430DF-1934-4EE8-AE05-01C8295033DC,218371332
1676,2849CC96-0279-4349-989A-01C88A042532,586565882
1680,45D51F0D-0CDA-4FC7-A262-01C8CBF85A12,67140302
1681,AF843587-5155-492D-889C-01C90C535277,587493155
1687,ECE49E37-54AB-42F2-9077-01CB327CAD11,430280560
1697,60261055-5B72-49B0-AF22-01CE7FA432AD,373258823
1702,DACB5EC8-8606-4C45-B2F4-01D0E2AFED5D,373148680
1706,4D8704F7-B8BB-4E26-B230-01D2264AC8CD,580977027
1714,37FFA53A-3E87-4DCC-A385-01D3D3713084,612775291
1716,4F75052C-07E1-4BFB-8B6B-01D4428403D9,590609881
1723,808CF672-C61B-4F30-9B95-01D5CACC86C7,586529785
1729,3C01FDB2-5535-4039-880B-01D754AE1073,370639102
1735,24E7FE9D-A8EB-4B63-9FFC-01D8F6DFEFB8,580389943
1745,CB4A0EBD-0B75-4F2E-9187-01DA3A8E9B8E,70163541
1751,DFBA449D-32C6-4EBC-A5DD-01DC21AF2C60,429014486
1764,18025786-43B7-47A2-9903-01DF013418DC,431040228
1769,7172C70F-667E-4AE5-AA3D-01DF482114B3,369084600
1776,E864872D-9CBD-480E-86BA-01E16D5F9BBB,429220903
1787,735D3C6D-FC10-411A-A275-01E37E7F87A2,368096901
1788,5FC9C9AB-FBAB-46EC-A471-01E3ECC66875,586632808
1796,C04CD171-2989-47E4-9375-01E6413FB9A2,429365640
1806,1D0D6F8E-6752-446D-8E03-01E93F36958A,586057650
1812,AC84C64B-D9FF-41C6-A7AB-01EB46A5789B,580545658
1827,73F2E2AE-16C6-4238-8017-01EE0D47B82C,587338195
1828,E2CD1328-DD51-4367-883F-01EE1F5EE36E,587173146
1838,A44B9BB1-B257-4A4A-A39C-01F36B0C5F29,371218653
1860,EE404947-1A07-4E51-A54E-01F73A5F67AD,70228774
1867,BE693D8A-CD9F-4093-93DF-01F8036F77D8,428094485
1869,20873E25-8A23-4168-A03C-01F8E40979D3,6673005
1890,CBFEA69A-6BB6-4338-9BBF-01FD8038B8E4,429987338
1897,892902F9-00C5-4A7C-BAD6-01FF3DD5C4EA,68592420
1902,BDDD4718-A688-410A-8202-02010F84DC01,579927684
1906,5E2C5A8D-DF5D-4197-AAD0-0203A902C234,371995189
1924,218682B0-211A-4955-81C0-02079B3843AC,586529785
1959,A2AD2E7B-D089-4423-87D0-0210FD4A8141,122197784
1981,DEC39FF0-17DC-492C-9452-0216E4725474,368707669
1995,338F673D-87F0-4826-BD5F-021A9A6B56F6,579623125
1997,5767A11C-FA7B-484E-B329-021A9C93A417,609985494
2002,2EF4D7AE-6A8A-4B5C-BE5F-021BDD36E3BC,369465207
2007,29E4C704-D300-42A5-8C23-021DE41E1F87,369168521
2010,EC8A4D42-FA67-4E35-A386-021E47B4E9EC,579551885
2011,D503CFB3-4551-457D-8C8A-021F6AA7B88F,585350656
2016,A6DC96BC-7365-4FDF-B77F-022091CADB23,586535590
2025,E20CE399-8FC4-48C5-9747-02233C06F82E,122557755
2028,CBF8DCC0-64BA-4EA0-81BD-0223DA42BFE8,586456221
2061,5421E84A-AA99-4E63-B814-022B406ED262,587361581
2082,2BE399DB-A397-4CB1-B28C-0231513B0E68,580827586
2088,23C6371C-5DF8-4E08-B251-0232E108F162,580794884
2117,09A475E0-FC96-4656-AB03-023B643F9037,608823289
2120,C2825E80-3D6A-401B-9B86-023BDFF7D4A1,612024070
2121,376454BD-91D5-45B9-8A86-023C52783F24,609908893
2132,70A29CB9-3BDD-453B-8D17-023F0784B5D9,370394829
2135,20714E57-37E9-4563-AB42-023FEA48FD6F,585047101
2145,92699005-C70D-4756-AF46-0243E133500F,429384419
2153,60274693-E474-4E05-B39A-02470C54F0EC,611205899
2163,5C040655-126E-4251-B15B-024B28B69045,608908689
2168,23FBF722-5FE8-46F9-A51B-024C0C61D236,611176215
2169,B481C7D9-D1C4-4461-952C-024C2CE217CE,584647819
2178,01526A5B-B63D-4517-9ED1-024EBB553BF9,585274068
2180,9B5EF80E-E239-4C66-A3A2-024EF3536A08,16050700
2193,4BFA0A8F-5DB8-4C3C-9329-0252A70F2A0C,367158054
2203,6EAB7061-B3C0-4A54-AC2A-025518A48BB4,579499674
2205,A2741FB9-8EBA-465C-9B14-025599407A9A,65704554
2229,84F46521-5970-4563-AEF7-025B5C2F2023,64186734
2234,E6D75517-7141-4E8B-B839-025CFF23F51F,8834016
2236,4607AAC5-5729-4396-B605-025D70543D67,586550651
2259,F1EF2C9A-37E8-4951-81BC-0264D898D87A,373931386
2262,72995D96-A28E-4B4E-A441-0266C28F102A,429498651
2293,145CA87C-BB70-4E82-A1AD-026E538B67B0,64253039
2300,251CC5A4-ABB1-44FD-B73B-0270C580607A,431099364
2302,83A71964-9FB1-40CC-960C-0271699365CA,579513512
2308,58C70F5A-18F6-4B32-8BB1-0272907E2F91,585481361
2321,1A35FA2F-EAD1-467A-8CA3-02763CE56D2E,430657656
2326,17604F67-E821-4CC4-AF69-02786036076E,61342127
2331,537C7F62-ADFE-4394-83A6-0279302D3314,579607023
2341,C544F67C-A83A-4172-9234-027A8F023920,25258148
2353,0EF92B2E-D45B-4A15-A98D-027F69B23178,608747595
2375,88AE9E4F-A06A-466D-9E3A-0287684069AD,68353691
2376,90D5A328-AAD9-4316-8761-0287911640D2,62299918
2396,C414E608-47DD-476E-B84A-028E27AB9ED5,370474947
2400,537F381F-0393-41C7-93D2-028FDD90E36A,372465820
2408,9C15F3FA-ABFB-47BD-8252-0291DAE904ED,581358029
2410,A5E4AB8B-5BB7-4EAF-8111-029222433256,611983347
2425,A4C1E7D7-F58F-4F30-9ACA-0294273FDF9F,587081599
2427,59E1EF81-952C-4760-B328-0294A7C39434,590977551
2444,70A1B9A2-72F9-4686-B970-02990939A40B,64215395
2458,DBF95148-08B6-4056-8410-029BE30FEEF9,61972174
2461,0081B5D6-7AD2-439F-B50B-029CDC527100,427096228
2475,94B2A627-CB2E-4D83-B468-02A041D1FC51,69982657
2490,C92C5331-7C12-4CAD-BB4E-02A3A1D75FA8,612412824
2501,4239783A-DF69-46A5-A691-02A549315271,586623272
